r,omega_over_varpi,domega_dr_over_varpi,region
10.235567766713627,0.0025134365195839115,-1.1977671215942369e-05,1
10.245577952555392,0.002513314340235717,-1.2433045112125394e-05,1
10.25558807902263,0.0025131876119280916,-1.2886689187478239e-05,1
10.265598146344816,0.00251305635197685,-1.3338613577086061e-05,1
10.275608154750316,0.0025129205775961116,-1.3788828347189573e-05,1
10.285618104466373,0.002512780305899187,-1.4237343495273638e-05,1
10.295627995719116,0.002512635553899023,-1.4684168950281254e-05,1
10.305637828733555,0.002512486338508313,-1.5129314573535715e-05,1
10.31564760373359,0.0025123326765410514,-1.5572790159015888e-05,1
10.325657320942046,0.0025121745847135335,-1.601460543449911e-05,1
10.335666980580674,0.0025120120796440215,-1.645477006164589e-05,1
10.345676582870105,0.0025118451778540773,-1.689329363620498e-05,1
10.355686128029921,0.0025116738957684515,-1.733018568889526e-05,1
10.365695616278654,0.002511498249716415,-1.776545568566958e-05,1
10.37570504783377,0.0025113182559325375,-1.8199113028808115e-05,1
10.385714422911697,0.002511133930557241,-1.863116705699993e-05,1
10.395723741727801,0.0025109452896370232,-1.9061627045538918e-05,1
10.405733004496398,0.0025107523491252337,-1.9490502207167943e-05,1
10.415742211430752,0.0025105551248820746,-1.9917801692331223e-05,1
10.425751362743117,0.0025103536326775977,-2.0343534590221288e-05,1
10.435760458644733,0.0025101478881897066,-2.0767709928856583e-05,1
10.445769499345783,0.0025099379070055994,-2.1190336675269446e-05,1
10.455778485055458,0.0025097237046231013,-2.1611423736313758e-05,1
10.465787415981957,0.0025095052964495546,-2.203097995890704e-05,1
10.475796292332484,0.0025092826978051486,-2.2449014131032554e-05,1
10.485805114313251,0.0025090559239207,-2.2865534981813683e-05,1
10.495813882129475,0.002508824989940317,-2.3280551181693844e-05,1
10.505822595985379,0.0025085899109204,-2.3694071343210084e-05,1
10.51583125608419,0.002508350701831197,-2.4106104021224464e-05,1
10.525839862628196,0.002508107377557134,-2.4516657713884007e-05,1
10.535848415818705,0.0025078599528980394,-2.4925740862691927e-05,1
10.545856915856046,0.0025076084425681433,-2.533336185267966e-05,1
10.555865362939604,0.0025073528611981866,-2.573952901314814e-05,1
10.565873757267832,0.0025070932233346443,-2.6144250617889115e-05,1
10.575882099038237,0.0025068295434419463,-2.654753488610474e-05,1
10.585890388447392,0.0025065618359018105,-2.694938998247568e-05,1
10.595898625690932,0.0025062901150141315,-2.734982401732623e-05,1
