r,m,rho,p_r,p_t,DEC_slack,circular_speed_squared
11.11,0.004024574283061465,8.672898684260053e-06,0.0,1.5720086258426597e-09,8.67132667563421e-06,0.0003625105476432252
11.120000000000001,0.004160696971260081,8.863424762168448e-06,0.0,1.659426350886444e-09,8.861765335817562e-06,0.0003744436028766973
11.13,0.004300043496109744,9.055950352856973e-06,0.0,1.750722962958527e-09,9.054199629894014e-06,0.0003866458835888402
11.14,0.004442655856876955,9.250463836169263e-06,0.0,1.846024791382017e-09,9.248617811377881e-06,0.00039912048175661636
11.15,0.004588576051332818,9.44695333412419e-06,0.0,1.945460601018455e-09,9.445007873523172e-06,0.000411870479764324
11.16,0.00473784607074419,9.64540671590097e-06,0.0,2.049161593121424e-09,9.643357554307848e-06,0.00042489895003458415
11.17,0.004890507894903691,9.845811602770512e-06,0.0,2.1572614051394974e-09,9.843654341365373e-06,0.0004382089546650407
11.18,0.005046603487198539,1.004815537297348e-05,0.0,2.2698961094654346e-09,1.0045885476864015e-05,0.0004518035450707248
11.19,0.005206174789718094,1.0252425166545631e-05,0.0,2.3872042111290777e-09,1.0250037962334502e-05,0.0004656857616320262
11.2,0.005369263718399988,1.0458607890090855e-05,0.0,2.5093266444319167e-09,1.0456098563446422e-05,0.0004798586333482128
11.21,0.0055359121582148185,1.0666690221502502e-05,0.0,2.636406768521956e-09,1.066405381473398e-05,0.0004943251774964537
11.22,0.005706161958389078,1.087665861463329e-05,0.0,2.7685903619078096e-09,1.0873890024271382e-05,0.0005090883992962674
11.23,0.005880054927666681,1.1088499303914688e-05,0.0,2.9060256159119854e-09,1.1085593278298775e-05,0.0005241512915793829
11.24,0.006057632829608434,1.1302198308925673e-05,0.0,3.0488631270631236e-09,1.129914944579861e-05,0.0005395168344649107
11.25,0.0062389373779296875,1.1517741438911818e-05,0.0,3.197255888428137e-09,1.151454418302339e-05,0.0005551879950398001
11.26,0.006424010231876047,1.1735114297254943e-05,0.0,3.351359279885406e-09,1.1731762937975058e-05,0.0005711677270445249
11.27,0.006612892991636909,1.1954302285893849e-05,0.0,3.5113310573406452e-09,1.1950790954836508e-05,0.0005874589705639346
11.28,0.006805627193796844,1.217529060969662e-05,0.0,3.6773313408877335e-09,1.2171613278355732e-05,0.0006040646517232271
11.29,0.007002254306824635,1.2398064280784843e-05,0.0,3.849522601917108e-09,1.2394214758182925e-05,0.0006209876823889834
11.3,0.007202815726600012,1.2622608122810448e-05,0.0,4.028069649175037e-09,1.2618580053161274e-05,0.000638230959875221
11.31,0.007407352771977665,1.2848906775185136e-05,0.0,4.21313961377708e-09,1.2844693635571358e-05,0.00065579736665439
11.32,0.0076159066803889825,1.3076944697263514e-05,0.0,4.404901933180386e-09,1.3072539795330335e-05,0.0006736897700733043
11.33,0.007828518603480805,1.330670617247977e-05,0.0,4.603528334118797e-09,1.330210264414565e-05,0.0006919110220739032
11.34,0.00804522960279149,1.3538175312438552e-05,0.0,4.809192814506117e-09,1.3533366119624046e-05,0.000710463958918828
11.35,0.008266080645464052,1.3771336060960592e-05,0.0,5.022071624312907e-09,1.376631398933628e-05,0.0007293514009217494
11.36,0.008491112599996324,1.4006172198083329e-05,0.0,5.2423432454226415e-09,1.4000929854837906e-05,0.0007485761521823969
11.370000000000001,0.008720366232027984,1.4242667344017017e-05,0.0,5.470188370473549e-09,1.4237197155646544e-05,0.0007681410003262398
11.38,0.008953882200164265,1.4480804963056674e-05,0.0,5.7057898806927045e-09,1.4475099173175981e-05,0.0007880487162487547
11.39,0.0091917010518367,1.4720568367450596e-05,0.0,5.949332822729909e-09,1.4714619034627866e-05,0.0008083020538642766
11.4,0.00943386321920001,1.496194072122524e-05,0.0,6.201004384498144e-09,1.4955739716840742e-05,0.0008289037498593086
