R,r,m,n_r,n_t,rho,p_r,p_t,Phi_unnormalized
11.17,11.156282293621686,0.0016488701825869859,0.9992945447798325,1.0012295947715626,1.0017540677264938e-06,9.261745054657867e-11,4.802055879621144e-10,8.036535570985273e-06
11.18,11.16628785285153,0.001664560824975967,0.9992974997772032,1.001227995134029,1.001753827779875e-06,9.317806070519373e-11,4.798535511305744e-10,8.169769243019813e-06
11.19,11.176293369830478,0.001680279541580749,0.9993004396639688,1.0012264021456811,1.0017535859848447e-06,9.373539159629404e-11,4.795025961307852e-10,8.3040247558342e-06
11.2,11.186298844707395,0.0016960263574550822,0.9993033645052024,1.0012248157753345,1.0017533423443691e-06,9.428945669659732e-11,4.791527171355836e-10,8.439300487650185e-06
11.21,11.19630427763047,0.0017118012976525781,0.9993062743656241,1.0012232359919777,1.0017530968614056e-06,9.484026941082346e-11,4.78803908350629e-10,8.575594822564513e-06
11.22,11.206309668747217,0.001727604387226697,0.9993091693096,1.0012216627647694,1.0017528495388955e-06,9.538784307000052e-11,4.78456164012921e-10,8.712906150548813e-06
11.23,11.216315018204488,0.001743435651230767,0.9993120494011424,1.0012200960630386,1.0017526003797648e-06,9.593219093252344e-11,4.781094783916464e-10,8.851232867449758e-06
11.24,11.226320326148484,0.0017592951147179694,0.9993149147039275,1.0012185358562817,1.0017523493869354e-06,9.647332618817754e-11,4.777638457890264e-10,8.99057337477739e-06
11.25,11.236325592724752,0.0017751828027413438,0.9993177652812896,1.001216982114162,1.00175209656332e-06,9.701126195602085e-11,4.774192605392574e-10,9.130926079771564e-06
11.26,11.246330818078173,0.0017910987403537877,0.9993206011962102,1.0012154348065108,1.0017518419118113e-06,9.754601128247835e-11,4.77075717007453e-10,9.272289395529581e-06
11.27,11.256336002352985,0.0018070429526080552,0.9993234225113395,1.0012138939033233,1.001751585435298e-06,9.807758714536533e-11,4.767332095890078e-10,9.41466174076434e-06
11.28,11.266341145692794,0.0018230154645567573,0.9993262292889947,1.0012123593747584,1.0017513271366588e-06,9.860600245579326e-11,4.763917327140448e-10,9.558041539804137e-06
11.29,11.276346248240566,0.0018390163012523626,0.9993290215911615,1.0012108311911372,1.001751067018766e-06,9.913127005520512e-11,4.760512808404276e-10,9.702427222592672e-06
11.3,11.286351310138636,0.0018550454877471986,0.9993317994794932,1.0012093093229433,1.0017508050844797e-06,9.965340271812832e-11,4.757118484603244e-10,9.847817224689066e-06
11.31,11.29635633152869,0.0018711030490934414,0.9993345630153112,1.0012077937408215,1.0017505413366508e-06,1.0017241315048059e-10,4.753734300938556e-10,9.99420998726777e-06
